room_count,avg_price,avg_quadrature,avg_price_per_m2,count
1,27145494.19426934,36.45114613180516,751116.998385299,6980
2,44230825.50926402,56.821152856407615,775081.1367758858,11658
3,68137461.78096452,83.48257913745485,788056.7735835242,9414
4,122845560.71119843,126.59764243614931,925146.0347939318,2545
5,239729029.91794872,220.50512820512822,1065011.493094211,390
6,295442608.4811321,275.45283018867923,1038810.8007775885,106
7,400152712.77380955,361.3452380952381,1122288.5519574957,84
8,287242635.0,357.25,805712.8037648969,16
9,477000000.0,395.6,1224760.3368146662,5
10,393333333.3333333,413.3333333333333,906070.4375539134,3
11,395000000.0,380.0,1050000.0,2
12,669999999.5,771.0,813576.0064456721,2
